package_name,version
org.apereo.cas:cas-server-support-service-registry-stream-hazelcast,6.3.0-RC3
software.amazon.awscdk:ce,1.93.0
com.google.api.grpc:proto-google-cloud-datacatalog-v1,1.0.0
it.unibo.tuprolog:parser-theory,0.17.1
io.quarkus:quarkus-container-image-openshift-deployment,1.9.0.CR1
com.guicedee.services:javax.security.jacc,1.0.18.1-jre15
org.onosproject:onos-apps-sdnip-oar,2.2.6-rc1
org.finos.legend.engine:legend-engine-executionPlan-dependencies,2.9.1
com.yahoo.vespa:document,7.282.23
software.amazon.awscdk:accessanalyzer,1.94.0
com.amazonaws:aws-java-sdk-costexplorer,1.11.856
org.eclipse.rdf4j:rdf4j-queryparser,3.5.0-M1
com.liferay:com.liferay.portal.upgrade.impl,3.0.19
com.amazonaws:aws-java-sdk-glacier,1.11.895
io.github.vigoo:zio-aws-snowball_2.13,3.15.48.1
org.wso2.carbon.mediation:event-sink,4.7.75
org.wso2.carbon.identity.framework:functions-library-mgt-feature,5.18.172
com.liferay:com.liferay.knowledge.base.web,3.0.47
com.liferay:com.liferay.dynamic.data.mapping.expression,4.0.16
software.amazon.awsconstructs:lambdadynamodb,1.92.0
com.liferay:com.liferay.asset.display.page.item.selector.web,1.0.13
software.amazon.awscdk:signer,1.95.1
io.github.vigoo:zio-aws-rdsdata_2.13,3.15.73.3
com.amazonaws:aws-java-sdk-location,1.11.935
org.jbpm.contrib:google-translate-workitem,7.45.0.t20201009
com.amazonaws:aws-java-sdk-importexport,1.11.960
io.servicetalk:servicetalk-grpc-protobuf,0.37.0
com.github.fangjinuo.agileway:agileway-feign,1.3.1
de.adorsys.ledgers:ledgers-postings-service-impl,3.13
com.lightbend.cloudflow:cloudflow-flink_2.12,2.0.11-28102020
com.anggrayudi:storage,0.4.1
com.amazonaws:aws-java-sdk-fms,1.11.938
io.quarkus:quarkus-cache,1.9.2.Final
com.jwebmp.plugins.effects:jwebmp-waveseffect,1.1.0.1-jre15
edu.internet2.middleware.grouper:grouper-ui,2.5.39
com.fasterxml.jackson.core:jackson-databind,2.12.0-rc2
io.github.vigoo:zio-aws-codeguruprofiler_2.12,3.15.53.1
org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.rest.api.admin.feature,6.8.152
org.opencastproject.assemblies:opencast-dist-allinone,9.1
io.zonky.test.postgres:embedded-postgres-binaries-linux-arm32v6,13.0.0
org.sdase.commons:sda-commons-server-opentracing,2.11.1
org.wso2.carbon.identity.framework:org.wso2.carbon.identity.entitlement,5.18.153
net.openhft:chronicle-bom,2.20.160
org.opendaylight.controller:sal-distributed-datastore,3.0.7
io.gravitee.gateway.services:gravitee-gateway-services-localregistry,3.4.1
org.eclipse.dirigible:dirigible-ide-ui-schema,5.8.2
software.amazon.awssdk:globalaccelerator,2.15.62
org.sdase.commons:sda-commons-bom,2.25.1
com.amplifyframework:aws-analytics-pinpoint,1.4.1
io.github.vigoo:zio-aws-http4s_2.12,3.15.65.3
org.opendaylight.mdsal:mdsal-binding-generator-util,7.0.1
co.fs2:fs2-io_2.12,3.0-2-e3fb8b6
com.amazonaws:aws-java-sdk-dax,1.11.950
com.amazonaws:aws-java-sdk-applicationinsights,1.11.879
org.sdase.commons:sda-commons-server-healthcheck,2.15.6
org.finos.legend.engine:legend-engine-server,2.2.0
org.infinispan:infinispan-commons-test,11.0.5.Final
io.stargate.cql:cql,0.0.7
software.amazon.awssdk:honeycode,2.15.1
com.lightbend.cloudflow:cloudflow-akka-testkit_2.12,2.0.15-RC1
org.kodein.di:kodein-di-erased-linuxmips32,6.3.2
org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.rest.api.publisher.feature,6.8.54
org.wso2.carbon.identity.framework:org.wso2.carbon.user.mgt.common,5.18.77
io.quarkus:quarkus-amazon-kms-deployment,1.7.2.Final
org.typelevel:scalacheck-effect_3.0.0-M1,0.1-5b0b85a
com.hpe.adm.octane.ciplugins:integrations-sdk,2.6.5.34
org.kie:kie-server-spring-boot-starter-jbpm,7.45.0.t20201014
com.amazonaws:aws-java-sdk-lex,1.11.971
com.thoughtworks.dsl:keywords-get_sjs0.6_2.13,1.5.3+26-f0d74391
org.onosproject:onos-core-serializers,2.2.7-b4
