number,coordinate,dependencies
35,org.infinispan:infinispan-core:7.1.0.CR2,org.infinispan:infinispan-core:7.1.0.CR2;org.infinispan:infinispan-commons:7.1.0.CR2;org.jgroups:jgroups:3.6.1.Final;org.jboss.spec.javax.transaction:jboss-transaction-api_1.1_spec:1.0.1.Final;org.jboss.marshalling:jboss-marshalling-osgi:1.4.4.Final;org.jboss.logging:jboss-logging:3.1.2.GA
36,org.infinispan:infinispan-core:5.2.8.Final,org.infinispan:infinispan-core:5.2.8.Final;org.jgroups:jgroups:3.2.7.Final;org.jboss.spec.javax.transaction:jboss-transaction-api_1.1_spec:1.0.0.Final;org.jboss.marshalling:jboss-marshalling-river:1.3.15.GA;org.jboss.marshalling:jboss-marshalling:1.3.15.GA;org.jboss.logging:jboss-logging:3.1.1.GA;org.jboss:staxmapper:1.1.0.Final
37,org.infinispan:infinispan-core:7.2.0.Final,org.infinispan:infinispan-core:7.2.0.Final;org.infinispan:infinispan-commons:7.2.0.Final;org.jgroups:jgroups:3.6.2.Final;org.jboss.spec.javax.transaction:jboss-transaction-api_1.1_spec:1.0.1.Final;org.jboss.marshalling:jboss-marshalling-osgi:1.4.10.Final;org.jboss.logging:jboss-logging:3.1.4.GA
38,com.liferay:com.liferay.portal.target.platform.indexer:4.0.0,com.liferay:com.liferay.portal.target.platform.indexer:4.0.0
39,org.infinispan:infinispan-core:7.0.0.Alpha2,org.infinispan:infinispan-core:7.0.0.Alpha2;org.infinispan:infinispan-commons:7.0.0.Alpha2;org.jgroups:jgroups:3.5.0.Alpha1;org.jboss.spec.javax.transaction:jboss-transaction-api_1.1_spec:1.0.1.Final;org.jboss.marshalling:jboss-marshalling-river:1.4.4.Final;org.jboss.marshalling:jboss-marshalling:1.4.4.Final;org.jboss.logging:jboss-logging:3.1.2.GA
40,org.infinispan:infinispan-core:5.2.0.Beta1,org.infinispan:infinispan-core:5.2.0.Beta1;org.jgroups:jgroups:3.2.0.Alpha2;org.jboss.spec.javax.transaction:jboss-transaction-api_1.1_spec:1.0.0.Final;org.jboss.marshalling:jboss-marshalling-river:1.3.15.GA;org.jboss.marshalling:jboss-marshalling:1.3.15.GA;org.jboss.logging:jboss-logging:3.1.1.GA;org.jboss:staxmapper:1.1.0.Final;org.codehaus.woodstox:woodstox-core-asl:4.1.1;org.codehaus.woodstox:stax2-api:3.1.1;org.rhq.helpers:rhq-pluginAnnotations:3.0.4
41,org.infinispan:infinispan-core:9.4.6.Final,org.infinispan:infinispan-core:9.4.6.Final;org.infinispan:infinispan-commons:9.4.6.Final;org.jgroups:jgroups:4.0.15.Final;com.github.ben-manes.caffeine:caffeine:2.6.2;org.jboss.spec.javax.transaction:jboss-transaction-api_1.2_spec:1.1.1.Final;org.jboss.marshalling:jboss-marshalling-osgi:2.0.6.Final;org.jboss.logging:jboss-logging:3.3.2.Final;io.reactivex.rxjava2:rxjava:2.2.4;org.reactivestreams:reactive-streams:1.0.2
42,io.hawt:hawtio-dozer:1.4.4,io.hawt:hawtio-dozer:1.4.4;org.slf4j:slf4j-api:1.6.6;io.hawt:hawtio-core:1.4.4;io.hawt:hawtio-util:1.4.4;io.hawt:hawtio-json-schema-mbean:1.4.4;javax.validation:validation-api:1.1.0.CR3;com.fasterxml.jackson.module:jackson-module-jaxb-annotations:2.3.3;com.fasterxml.jackson.core:jackson-databind:2.3.3;com.fasterxml.jackson.core:jackson-annotations:2.3.3;com.fasterxml.jackson.core:jackson-core:2.3.3;net.sf.dozer:dozer:5.4.0;commons-beanutils:commons-beanutils:1.8.3;org.apache.commons:commons-lang3:3.1;org.slf4j:jcl-over-slf4j:1.6.6;org.slf4j:slf4j-log4j12:1.6.6;log4j:log4j:1.2.17;org.apache.aries.blueprint:org.apache.aries.blueprint.web:1.0.0;org.apache.aries.blueprint:org.apache.aries.blueprint.noosgi:1.0.0
43,io.hawt:hawtio-dozer:1.2.2,io.hawt:hawtio-dozer:1.2.2;org.slf4j:slf4j-api:1.6.6;io.hawt:hawtio-core:1.2.2;io.hawt:hawtio-util:1.2.2;io.hawt:hawtio-json-schema-mbean:1.2.2;javax.validation:validation-api:1.1.0.CR3;com.fasterxml.jackson.module:jackson-module-jaxb-annotations:2.1.4;com.fasterxml.jackson.core:jackson-databind:2.1.4;com.fasterxml.jackson.core:jackson-annotations:2.1.4;com.fasterxml.jackson.core:jackson-core:2.1.4;net.sf.dozer:dozer:5.4.0;commons-beanutils:commons-beanutils:1.8.3;org.apache.commons:commons-lang3:3.1;org.slf4j:jcl-over-slf4j:1.6.6;org.slf4j:slf4j-log4j12:1.6.6;log4j:log4j:1.2.17;org.apache.aries.blueprint:org.apache.aries.blueprint.web:1.0.0;org.apache.aries.blueprint:org.apache.aries.blueprint.noosgi:1.0.0
44,org.infinispan:infinispan-core:9.4.4.Final,org.infinispan:infinispan-core:9.4.4.Final;org.infinispan:infinispan-commons:9.4.4.Final;org.jgroups:jgroups:4.0.15.Final;com.github.ben-manes.caffeine:caffeine:2.6.2;org.jboss.spec.javax.transaction:jboss-transaction-api_1.2_spec:1.1.1.Final;org.jboss.marshalling:jboss-marshalling-osgi:2.0.6.Final;org.jboss.logging:jboss-logging:3.3.2.Final;io.reactivex.rxjava2:rxjava:2.2.0;org.reactivestreams:reactive-streams:1.0.2
45,org.infinispan:infinispan-core:9.4.0.Final,org.infinispan:infinispan-core:9.4.0.Final;org.infinispan:infinispan-commons:9.4.0.Final;org.jgroups:jgroups:4.0.15.Final;com.github.ben-manes.caffeine:caffeine:2.6.2;org.jboss.spec.javax.transaction:jboss-transaction-api_1.2_spec:1.1.1.Final;org.jboss.marshalling:jboss-marshalling-osgi:2.0.6.Final;org.jboss.logging:jboss-logging:3.3.2.Final;io.reactivex.rxjava2:rxjava:2.2.0;org.reactivestreams:reactive-streams:1.0.2
46,org.codehaus.plexus:plexus-component-annotations:1.5.0,org.codehaus.plexus:plexus-component-annotations:1.5.0;junit:junit:3.8.2
