number,folder,opalOutput,opalCG,mergeOutput,CGPool,mergeCG
233,com.gitee.zcx7878:leisure.demo:1.0.0.2,1,0,1,1,1
234,org.ejml:ejml-cdense:0.40,1,1,1,1,1
235,com.haoxuer.discover:discover-plug-push-jpush:3.2.5-20210225,1,0,1,1,1
236,co.paralleluniverse:comsat-spring-security:0.4.0,1,0,0,0,0
237,com.twitter:algebird-test_2.11:0.13.8-M1,1,0,1,1,1
238,io.gravitee.repository:gravitee-repository-mongodb:3.0.6,1,0,0,0,0
239,io.kevinlee:logger-f-cats-effect_3.0.0-M3:1.8.0,1,0,0,0,0
240,org.apache.camel.kafkaconnector:camel-aws-kinesis-kafka-connector:0.7.1,1,0,1,1,1
241,org.apache.camel.quarkus:camel-quarkus-smpp-integration-test:1.3.0,1,0,1,1,1
242,com.github.simonalong:Neo:0.6.0,1,0,0,0,0
243,net.sf.okapi.connectors:okapi-connector-crosslanguage:1.41.0,1,1,1,1,1
244,edu.utexas.tacc.tapis:meta-client:1.11.16,1,0,1,1,0
245,com.spotify.metrics:semantic-metrics-api:1.1.0,1,0,1,1,1
246,org.moduliths:moduliths-events-jackson:1.1.0-M1,1,0,1,1,1
247,io.cloudsoft.jclouds.labs.management:management-compute:1.7.2-ea-brooklyn.5,1,1,1,1,1
248,com.seelyn:api-wrap-client:1.0.2,0,0,0,0,0
249,org.openstreetmap.osmosis:osmosis-testutil:0.48.3,1,1,1,1,1
250,org.noear:nami.channel.socketd.rsocket:1.3.5,1,1,1,1,1
251,io.seata:seata-http:1.4.0,1,0,1,1,1
252,com.helger.photon:ph-oton-uictrls:8.2.7,1,1,1,1,1
253,com.github.squirrelgrip:scientist4k-application-common:0.10.3,0,0,0,0,0
254,io.sqooba.oss:chronos-client_2.13:0.2.0,0,0,0,0,0
255,org.scalatestplus:junit-4-13_2.12:3.2.6.0,0,0,0,0,0
256,org.springframework.cloud:spring-cloud-starter-config:3.0.3,1,0,0,0,0
257,com.soywiz.korlibs.korge2:korge-swf-js:2.0.9,1,1,1,1,1
258,com.ibm.jbatch:com.ibm.jbatch.spi:2.0.0,1,1,1,1,1
259,org.apache.activemq.examples.amqp:proton-clustered-cpp:2.16.0,1,1,0,0,0
260,io.ebean:ebean-ddl-generator:12.6.3,1,1,1,1,1
261,com.opentable.components:otj-jvm:1.1.3,1,1,1,1,1
262,org.kie.kogito:kogito-drools-model:1.0.0.Final,1,1,0,0,0
263,org.apache.streampipes:streampipes-pipeline-management:0.67.0,1,0,1,1,1
264,org.apache.activemq:artemis-cdi-client:2.15.0,1,1,1,1,1
265,io.helidon.microprofile.bundles:helidon-microprofile-3.0:1.4.8,1,0,1,1,1
266,org.scala-sbt:util-scripted_2.13:1.4.8,1,0,1,1,1
267,it.czerwinski.android.room:room-converters:1.0.0-ALPHA1,1,0,1,1,1
268,org.langrid:jp.go.nict.langrid.service.management_1_2:1.1.2,1,1,1,1,1
269,com.sonymobile:lumbermill-core:0.0.15,1,0,1,1,1
270,com.google.cloud.trace:grpc-sink:0.1.0,1,1,1,1,1
271,de.adorsys:datasafe-migration:1.0.3.2,1,0,1,1,1
272,eu.joaocosta:minart-core_native0.4_2.13:0.2.0,1,0,0,0,0
273,io.prestosql:presto-redis:347,1,0,1,1,1
274,com.github.japgolly.microlibs:adt-macros_2.13:2.6-RC1,0,0,1,1,1
275,com.semanticcms:semanticcms-view-all:1.7.1,1,1,1,1,1
276,io.helidon.serviceconfiguration:helidon-serviceconfiguration-ucp-accs:1.4.8,1,1,1,1,1
277,io.micronaut.netflix:micronaut-netflix-archaius:2.1.0,1,0,1,1,1
278,org.eclipse.jetty:jetty-alpn-java-server:9.4.32.v20200930,1,1,1,1,1
279,org.flowable:flowable-cmmn-engine:6.6.0,1,0,0,0,0
280,com.gitee.sean-framework:octopus-core:6.1.3,1,0,1,1,1
281,org.jkee.gtree:gtree:0.2,1,1,1,1,1
282,de.sciss:filecache-common_0.27:1.0.0,1,0,0,0,0
283,com.threatconnect.sdk.addons:app-package-plugin:2.12.2,1,1,1,1,1
284,com.apollographql.apollo:apollo-coroutine-support:1.0.0-alpha5,1,0,1,1,1
285,com.uchuhimo:konf-js:0.23.0,1,0,1,1,1
286,com.daml:ledger-resources_2.12:1.9.0-snapshot.20210112.6040.0.7171cb38,1,1,1,1,1
287,org.wso2.carbon.mediation:org.wso2.carbon.das.data.publisher.util:4.7.85,1,0,0,0,0
288,org.infrastructurebuilder.util:iblog-slf4j-component:0.10.0,1,1,1,1,1
289,com.github.gv2011.logback:logback-test:1.3.0,1,1,1,1,1
290,org.apache.pulsar:pulsar-transaction-common:2.6.2,1,1,1,1,1
291,com.dimafeng:testcontainers-scala-jdbc_2.12:0.38.8,1,1,1,1,1
292,com.graphql-java:nadel:2020-09-30T09-12-46-09d044d,1,1,1,1,1
293,ly.iterative.mparticle:android-plugin:5.14.12,1,0,1,1,1
294,ru.ilb.callcontext:callcontext:1.3,1,1,1,1,1
295,io.gravitee.plugin:gravitee-plugin-cockpit:1.15.0,1,0,1,1,1
296,org.opendaylight.netconf:netconf-api:1.13.0,1,0,1,1,1
297,org.jvnet.hudson:htmlunit:2.6-hudson-2,1,1,1,1,1
298,org.typelevel:cats-effect-concurrent_2.12:3.0-cee70ab,0,0,1,1,1
299,com.devonfw.java.modules:devon4j-beanmapping-dozer:2020.12.001,1,0,0,0,0
300,com.commercetools:sphere-json_2.12:0.12.2,1,0,1,1,1
301,com.github.tommyettinger:colorful:0.2.2,1,1,1,1,1
302,com.tibco.plugins:bw6-maven-plugin:2.8.0,1,0,1,1,1
303,org.springframework.cloud:spring-cloud-deployer-kubernetes:2.5.1,1,0,1,1,1
304,com.andretietz.houston:houston:1.0.1,1,0,1,1,0
305,org.scala-lang.modules:scala-collection-compat_sjs1_3.0.0-RC1:2.4.2,1,0,1,1,1
306,org.webjars.npm:ts-node:7.0.1,1,1,1,1,1
307,org.cristalise:cristalise-js-rhino:5.3.1,1,0,1,1,1
308,com.outr:fabric-core_sjs1_2.11:1.0.1,1,0,1,1,1
309,io.quarkus:quarkus-kubernetes-deployment:1.7.2.Final,0,0,1,1,1
310,com.hexagonkt:logging_slf4j:1.3.5,1,0,1,1,1
311,io.kvision:kvision-common-remote:4.0.0,1,1,1,1,1
312,io.georocket:georocket-server-api:1.1.0,1,1,1,1,1
313,com.oracle.coherence.ce:coherence-management:20.12.1,1,0,1,1,1
314,org.eclipse.che.infrastructure:infrastructure-metrics:7.24.1,1,0,1,1,1
315,org.eclipse.che.multiuser:che-multiuser-permission-system:7.27.1,1,0,1,1,1
316,com.thoughtworks.dsl:keywords-catch_sjs0.6_2.11:1.5.3+34-ee9dbd9a,1,0,1,1,1
317,com.github.cbismuth:fdupes-java:1.2.0-RC1,1,1,1,1,1
318,org.twister2:twister2-harp:0.8.0,1,1,1,1,1
319,com.clovellytech:h4sm-common_sjs1_2.12:0.1.0.1,1,1,1,1,1
320,org.apache.jclouds.provider:skalicloud-sdg-my:2.3.0,1,0,1,1,1
321,no.kodeworks:kvarg-patch:0.7,0,0,1,1,1
322,com.bybutter.sisyphus:sisyphus-common:1.0.1,1,0,1,1,1
323,io.kinoplan:scalajs-react-material-ui-core_sjs1_2.13:0.2.1,1,0,1,1,1
324,org.amqphub.quarkus:quarkus-qpid-jms:0.22.0,1,0,1,1,1
325,io.monix:monix-tail_sjs1_2.12:3.3.0,1,1,1,1,1
326,org.apache.bigtop.itest:httpfs-smoke:1.5.0,1,1,1,1,1
327,com.github.akurilov:confuse:1.0.0,1,1,1,1,1
328,com.firstbird:backbone-gson_2.13:3.0.0-RC5,0,0,0,0,0
329,org.typelevel:log4cats-slf4j_3.0.0-M2:2.0.0-M2,1,0,1,1,1
330,io.contek.invoker:invoker-binancedelivery-api:2.5.1,1,0,1,1,1
331,org.kie.workbench.stunner:kie-wb-common-stunner-svg-client:7.51.0.Final,1,0,0,0,0
332,com.github.mjakubowski84:parquet4s-core_2.13:1.5.1,1,1,0,0,0
333,org.eclipse.ecf:org.eclipse.ecf.bndtools.grpc:1.0.1,1,0,1,1,0
334,com.github.yannrichet:Rsession:3.1.1,1,0,1,1,1
335,com.github.setielouis:instance.creator:1.0.0,1,0,0,0,0
336,de.sciss:kollflitz_3.0.0-M3:0.2.4,1,0,1,1,1
337,io.ktor:ktor-http-metadata:1.4.1,1,1,1,1,1
338,com.github.yannrichet:Rsession:3.1.0,1,0,1,1,1
339,org.scommons.react-native:scommons-react-native-test_sjs0.6_2.12:0.3.1,1,0,1,1,1
340,co.cask.tracker:tracker:0.2.0,1,0,1,1,0
341,com.twitter:util-jvm_2.11:20.9.0,1,0,1,1,1
342,com.cerner.common.kafka:common-kafka-admin:2.3,1,0,1,1,1
